,sked+time,sked_RMS,var_of_obs_x,var_of_obs_y
489,009+30,7.38,1155.0715402089497,210.58221283318113
490,009+31,7.38,1168.3311864072516,198.52566767469824
491,009+32,7.38,1044.4408794124406,160.20796662977529
492,009+33,7.38,1214.5970023195448,169.3589449058832
493,009+34,7.38,1176.2987807220716,190.9263720002195
494,009+35,7.38,1180.1164920982158,217.88680069036428
495,009+36,7.38,1179.8470701493059,253.3179497351508
496,009+37,7.38,1338.8591001902432,264.3931762815231
497,009+38,7.38,1262.0831388717945,261.9903128659265
498,009+39,7.38,1075.4114293767025,238.03060263090083
499,009+40,7.38,1028.4853450921496,243.54662364345367
500,009+41,7.38,1223.5462742258376,277.6426371445639
501,009+42,7.38,1233.5056342168664,305.94144936236233
502,009+43,7.38,998.2028928904741,287.2832612243453
503,009+44,7.38,976.2333122068974,223.14882398016596
504,009+45,7.38,992.7876094058761,263.6346060134167
505,009+46,7.38,1023.8581968452379,249.3499764370733
506,009+47,7.38,1037.7797455748655,240.21071386077938
507,009+48,7.38,986.1293795700012,283.893395183613
508,009+49,7.38,992.5311577935308,303.4656287447817
509,009+50,7.38,1033.326548572798,326.1794079110707
510,010+0,6.24,1118.3368567924358,197.31912160693184
511,010+1,6.24,1177.0772597440023,233.31308951488973
512,010+2,6.24,1212.425326123891,274.40787702690847
513,010+3,6.24,1032.5617364701595,240.81544973528136
514,010+4,6.24,1057.6233235572076,212.5049185180199
515,010+5,6.24,994.9526717408522,215.86560890865232
516,010+6,6.24,1030.1837658071568,224.37384447425595
517,010+7,6.24,983.6028485402824,251.04497930479317
518,010+8,6.24,1323.7724767782074,283.7852219982169
519,010+9,6.24,1244.5593317467183,217.90281741471546
520,010+10,6.24,1363.5203953318328,200.85901530863433
521,010+11,6.24,1362.1614496969469,216.128680080878
522,010+12,6.24,1272.907542977177,213.79929134442654
523,010+13,6.24,1272.0262948634868,224.21533312346907
