,sked+time,sked_RMS,x,y,rad
61,001+10,9.28,6.277989464443439,40.090402312016614,29.82625578413694
62,001+11,9.28,8.094129001172815,44.42867105984898,32.537338636124474
63,001+12,9.28,8.094129001172815,44.42867105984898,32.537338636124474
64,001+13,9.28,8.094129001172815,44.42867105984898,32.537338636124474
65,001+14,9.28,6.277989464443439,40.090402312016614,34.29034501048188
66,001+15,9.28,13.913163865197943,39.97356368145866,39.84448315475776
67,001+16,9.28,21.593705430674333,38.12016009945186,30.714211743779032
68,001+17,9.28,21.593705430674333,38.12016009945186,30.714211743779032
69,001+18,9.28,88.040341331995,10.576105362304562,42.21227747987883
70,001+19,9.28,88.040341331995,10.576105362304562,42.21227747987883
71,001+20,9.28,88.040341331995,10.576105362304562,42.21227747987883
72,001+21,9.28,-4.564893583796078,40.95503358488809,31.791218592354713
73,001+22,9.28,88.040341331995,10.576105362304562,31.757300637463743
74,001+23,9.28,88.040341331995,10.576105362304562,31.757300637463743
75,001+24,9.28,88.040341331995,10.576105362304562,31.757300637463743
76,001+25,9.28,88.040341331995,10.576105362304562,31.757300637463743
77,001+26,9.28,88.040341331995,10.576105362304562,31.757300637463743
78,001+27,9.28,88.040341331995,10.576105362304562,31.757300637463743
79,001+28,9.28,88.040341331995,10.576105362304562,31.757300637463743
80,001+29,9.28,88.040341331995,10.576105362304562,31.757300637463743
81,001+30,9.28,88.040341331995,10.576105362304562,31.757300637463743
82,001+31,9.28,88.040341331995,10.576105362304562,43.99257201801357
83,001+32,9.28,88.040341331995,10.576105362304562,43.99257201801357
84,001+33,9.28,88.040341331995,10.576105362304562,43.99257201801357
85,001+34,9.28,88.040341331995,10.576105362304562,43.99257201801357
86,001+35,9.28,-32.205522167793525,43.86573850386386,28.088044031370806
87,001+36,9.28,-32.204917848033766,43.85665428657305,28.087503280311935
88,001+37,9.28,-32.204917848033766,43.85665428657305,28.087503280311935
89,001+38,9.28,64.82185159938625,60.447354527804386,23.5243883960443
90,001+39,9.28,64.82185159938625,60.447354527804386,23.5243883960443
91,001+40,9.28,13.78215183983744,62.06015373729921,26.754484538918998
92,001+41,9.28,13.78215183983744,62.06015373729921,26.754484538918998
93,001+42,9.28,14.486034454803907,52.024751867146115,22.02059786999223
94,001+43,9.28,14.486034454803907,52.024751867146115,22.02059786999223
95,001+44,9.28,-3.12900242229915,89.60290588781531,27.014954603857497
96,001+45,9.28,88.040341331995,10.576105362304562,30.014524347114758
97,001+46,9.28,88.040341331995,10.576105362304562,30.014524347114758
98,001+47,9.28,88.040341331995,10.576105362304562,29.89152451876501
99,001+48,9.28,0.18549223461797482,40.81969583140071,32.554134269566575
100,001+49,9.28,0.07801365069054332,40.634976701889784,32.630332899644046
101,001+50,9.28,0.07801365069054332,40.634976701889784,32.630332899644046
102,002+0,6.22,88.040341331995,10.576105362304562,55.09977955847292
103,002+1,6.22,34.8524086512594,35.652293440101325,30.895381209403794
104,002+2,6.22,34.8524086512594,35.652293440101325,30.895381209403794
105,002+3,6.22,34.8524086512594,35.652293440101325,30.895381209403794
106,002+4,6.22,34.8524086512594,35.652293440101325,30.895381209403794
107,002+5,6.22,34.8524086512594,35.652293440101325,30.895381209403794
108,002+6,6.22,34.8524086512594,35.652293440101325,30.895381209403794
